episode_reward_max,episode_reward_min,episode_reward_mean,episode_len_mean,episodes_this_iter,num_faulty_episodes,num_healthy_workers,num_in_flight_async_reqs,num_remote_worker_restarts,num_agent_steps_sampled,num_agent_steps_trained,num_env_steps_sampled,num_env_steps_trained,num_env_steps_sampled_this_iter,num_env_steps_trained_this_iter,num_env_steps_sampled_throughput_per_sec,num_env_steps_trained_throughput_per_sec,timesteps_total,num_steps_trained_this_iter,agent_timesteps_total,done,episodes_total,training_iteration,trial_id,date,timestamp,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,info/num_env_steps_sampled,info/num_env_steps_trained,info/num_agent_steps_sampled,info/num_agent_steps_trained,sampler_results/episode_reward_max,sampler_results/episode_reward_min,sampler_results/episode_reward_mean,sampler_results/episode_len_mean,sampler_results/episodes_this_iter,sampler_results/num_faulty_episodes,hist_stats/episode_reward,hist_stats/episode_lengths,timers/training_iteration_time_ms,timers/sample_time_ms,timers/load_time_ms,timers/load_throughput,timers/learn_time_ms,timers/learn_throughput,timers/synch_weights_time_ms,counters/num_env_steps_sampled,counters/num_env_steps_trained,counters/num_agent_steps_sampled,counters/num_agent_steps_trained,perf/cpu_util_percent,perf/ram_util_percent,sampler_results/hist_stats/episode_reward,sampler_results/hist_stats/episode_lengths,info/learner/default_policy/num_agent_steps_trained,info/learner/default_policy/num_grad_updates_lifetime,info/learner/default_policy/diff_num_grad_updates_vs_sampler_policy,info/learner/default_policy/learner_stats/allreduce_latency,info/learner/default_policy/learner_stats/grad_gnorm,info/learner/default_policy/learner_stats/cur_kl_coeff,info/learner/default_policy/learner_stats/cur_lr,info/learner/default_policy/learner_stats/total_loss,info/learner/default_policy/learner_stats/policy_loss,info/learner/default_policy/learner_stats/vf_loss,info/learner/default_policy/learner_stats/vf_explained_var,info/learner/default_policy/learner_stats/kl,info/learner/default_policy/learner_stats/entropy,info/learner/default_policy/learner_stats/entropy_coeff
nan,nan,nan,nan,0,0,24,0,0,4000,4000,4000,4000,4000,4000,200.80078230029662,200.80078230029662,4000,4000,4000,False,0,1,74231_00000,2025-04-22_13-52-12,1745344332,19.925379037857056,19.925379037857056,763949,mecha-ws-2,10.26.3.157,19.925379037857056,1,4000,4000,4000,4000,nan,nan,nan,nan,0,0,[],[],19920.203,10231.211,0.271,14742720.562,9647.628,414.61,40.531,4000,4000,4000,4000,16.724137931034484,6.468965517241381,[],[],128.0,310.5,309.5,0.0,0.47472118937200114,0.2,2.9999999999999997e-05,-0.2646135983891004,-0.018991321634929326,0.009846298377458644,0.051411176112390336,0.011136193367757551,25.76958189318257,0.01
nan,nan,nan,nan,0,0,24,0,0,8000,8000,8000,8000,4000,4000,211.67608522907915,211.67608522907915,8000,4000,8000,False,0,2,74231_00000,2025-04-22_13-52-31,1745344351,18.90248203277588,38.827861070632935,763949,mecha-ws-2,10.26.3.157,38.827861070632935,2,8000,8000,8000,8000,nan,nan,nan,nan,0,0,[],[],19408.485,10430.003,165.752,24132.414,8779.871,455.588,32.334,8000,8000,8000,8000,18.41923076923077,7.319230769230769,[],[],128.0,930.5,309.5,0.0,0.4998246537581567,0.2,2.9999999999999997e-05,-0.26458842562391394,-0.02250631249870264,0.015101526800924235,0.01868709393085972,0.009546517650432502,25.90929479291362,0.01
nan,nan,nan,nan,0,0,24,0,0,12000,12000,12000,12000,4000,4000,215.52112077864183,215.52112077864183,12000,4000,12000,False,0,3,74231_00000,2025-04-22_13-52-49,1745344369,18.565147876739502,57.39300894737244,763949,mecha-ws-2,10.26.3.157,57.39300894737244,3,12000,12000,12000,12000,nan,nan,nan,nan,0,0,[],[],19125.537,10374.647,221.53,18056.223,8500.468,470.562,28.387,12000,12000,12000,12000,17.203703703703702,7.5703703703703695,[],[],128.0,1550.5,309.5,0.0,0.5,0.2,2.9999999999999997e-05,-0.2742196171033767,-0.02749628414580178,0.011669960437129409,0.05242303071483489,0.007244069278432665,25.984211174134284,0.01
nan,nan,nan,nan,0,0,24,0,0,16000,16000,16000,16000,4000,4000,212.94957395656053,212.94957395656053,16000,4000,16000,False,0,4,74231_00000,2025-04-22_13-53-08,1745344388,18.78852367401123,76.18153262138367,763949,mecha-ws-2,10.26.3.157,76.18153262138367,4,16000,16000,16000,16000,nan,nan,nan,nan,0,0,[],[],19040.093,10413.018,246.533,16225.018,8353.349,478.85,26.691,16000,16000,16000,16000,17.584615384615383,7.665384615384614,[],[],128.0,2170.5,309.5,0.0,0.4987604212376379,0.2,2.9999999999999997e-05,-0.2779872538193294,-0.032306994201855795,0.01226468413822717,0.12470242188822839,0.010569066978314367,26.005876187355287,0.01
nan,nan,nan,nan,0,0,24,0,0,20000,20000,20000,20000,4000,4000,203.79653343364993,203.79653343364993,20000,4000,20000,False,0,5,74231_00000,2025-04-22_13-53-28,1745344408,19.63260793685913,95.8141405582428,763949,mecha-ws-2,10.26.3.157,95.8141405582428,5,20000,20000,20000,20000,nan,nan,nan,nan,0,0,[],[],19157.552,10608.537,261.324,15306.673,8261.686,484.163,25.475,20000,20000,20000,20000,17.314814814814817,7.751851851851852,[],[],128.0,2790.5,309.5,0.0,0.49432278787416795,0.2,2.9999999999999997e-05,-0.28499074810590114,-0.03592730706347333,0.009067742957303117,0.1111979700865284,0.008999437281420322,25.993107817249914,0.01
32.6249999999994,13.94999999999983,18.19395833333326,900.0,24,0,24,0,0,24000,24000,24000,24000,4000,4000,221.29091095525084,221.29091095525084,24000,4000,24000,False,24,6,74231_00000,2025-04-22_13-53-46,1745344426,18.081406116485596,113.8955466747284,763949,mecha-ws-2,10.26.3.157,113.8955466747284,6,24000,24000,24000,24000,32.6249999999994,13.94999999999983,18.19395833333326,900.0,24,0,"[15.12999999999983, 16.91000000000003, 17.999999999999968, 24.219999999999676, 16.824999999999843, 32.6249999999994, 19.484999999999886, 18.09999999999996, 15.965000000000117, 16.92000000000003, 18.134999999999955, 16.675000000000026, 17.954999999999973, 19.019999999999914, 17.77999999999999, 17.539999999999978, 16.169999999999888, 18.19499999999996, 17.404999999999998, 13.94999999999983, 17.555000000000064, 18.089999999999964, 15.640000000000068, 18.364999999999963]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",18977.247,10493.533,270.617,14781.022,8187.777,488.533,24.797,24000,24000,24000,24000,18.157692307692308,7.750000000000001,"[15.12999999999983, 16.91000000000003, 17.999999999999968, 24.219999999999676, 16.824999999999843, 32.6249999999994, 19.484999999999886, 18.09999999999996, 15.965000000000117, 16.92000000000003, 18.134999999999955, 16.675000000000026, 17.954999999999973, 19.019999999999914, 17.77999999999999, 17.539999999999978, 16.169999999999888, 18.19499999999996, 17.404999999999998, 13.94999999999983, 17.555000000000064, 18.089999999999964, 15.640000000000068, 18.364999999999963]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",128.0,3410.5,309.5,0.0,0.5,0.2,2.9999999999999997e-05,-0.2891165473089073,-0.03728749591992387,0.007707026401429527,0.14521650123980737,0.008235363424814846,26.118315536745133,0.01
32.6249999999994,13.94999999999983,18.19395833333326,900.0,0,0,24,0,0,28000,28000,28000,28000,4000,4000,213.41797247751364,213.41797247751364,28000,4000,28000,False,24,7,74231_00000,2025-04-22_13-54-04,1745344444,18.747430562973022,132.64297723770142,763949,mecha-ws-2,10.26.3.157,132.64297723770142,7,28000,28000,28000,28000,32.6249999999994,13.94999999999983,18.19395833333326,900.0,0,0,"[15.12999999999983, 16.91000000000003, 17.999999999999968, 24.219999999999676, 16.824999999999843, 32.6249999999994, 19.484999999999886, 18.09999999999996, 15.965000000000117, 16.92000000000003, 18.134999999999955, 16.675000000000026, 17.954999999999973, 19.019999999999914, 17.77999999999999, 17.539999999999978, 16.169999999999888, 18.19499999999996, 17.404999999999998, 13.94999999999983, 17.555000000000064, 18.089999999999964, 15.640000000000068, 18.364999999999963]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",18943.717,10476.392,278.359,14369.955,8164.327,489.936,24.124,28000,28000,28000,28000,18.634615384615383,7.8076923076923075,"[15.12999999999983, 16.91000000000003, 17.999999999999968, 24.219999999999676, 16.824999999999843, 32.6249999999994, 19.484999999999886, 18.09999999999996, 15.965000000000117, 16.92000000000003, 18.134999999999955, 16.675000000000026, 17.954999999999973, 19.019999999999914, 17.77999999999999, 17.539999999999978, 16.169999999999888, 18.19499999999996, 17.404999999999998, 13.94999999999983, 17.555000000000064, 18.089999999999964, 15.640000000000068, 18.364999999999963]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",128.0,4030.5,309.5,0.0,0.5,0.2,2.9999999999999997e-05,-0.29526438477492306,-0.04166654590892816,0.006697784355492331,0.23119271061112803,0.006498510440193176,26.15953338684574,0.01
32.6249999999994,13.94999999999983,18.19395833333326,900.0,0,0,24,0,0,32000,32000,32000,32000,4000,4000,214.8111075156787,214.8111075156787,32000,4000,32000,False,24,8,74231_00000,2025-04-22_13-54-23,1745344463,18.626753330230713,151.26973056793213,763949,mecha-ws-2,10.26.3.157,151.26973056793213,8,32000,32000,32000,32000,32.6249999999994,13.94999999999983,18.19395833333326,900.0,0,0,"[15.12999999999983, 16.91000000000003, 17.999999999999968, 24.219999999999676, 16.824999999999843, 32.6249999999994, 19.484999999999886, 18.09999999999996, 15.965000000000117, 16.92000000000003, 18.134999999999955, 16.675000000000026, 17.954999999999973, 19.019999999999914, 17.77999999999999, 17.539999999999978, 16.169999999999888, 18.19499999999996, 17.404999999999998, 13.94999999999983, 17.555000000000064, 18.089999999999964, 15.640000000000068, 18.364999999999963]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",18903.375,10462.171,295.945,13516.01,8120.851,492.559,23.895,32000,32000,32000,32000,18.415384615384617,7.826923076923077,"[15.12999999999983, 16.91000000000003, 17.999999999999968, 24.219999999999676, 16.824999999999843, 32.6249999999994, 19.484999999999886, 18.09999999999996, 15.965000000000117, 16.92000000000003, 18.134999999999955, 16.675000000000026, 17.954999999999973, 19.019999999999914, 17.77999999999999, 17.539999999999978, 16.169999999999888, 18.19499999999996, 17.404999999999998, 13.94999999999983, 17.555000000000064, 18.089999999999964, 15.640000000000068, 18.364999999999963]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",128.0,4650.5,309.5,0.0,0.4998642503253875,0.2,2.9999999999999997e-05,-0.31691334348532463,-0.06298811928098721,0.0057787773356399305,0.21796200486921494,0.007562303430958925,26.12164691494357,0.01
32.6249999999994,13.94999999999983,18.19395833333326,900.0,0,0,24,0,0,36000,36000,36000,36000,4000,4000,211.18742981069633,211.18742981069633,36000,4000,36000,False,24,9,74231_00000,2025-04-22_13-54-42,1745344482,18.946098566055298,170.21582913398743,763949,mecha-ws-2,10.26.3.157,170.21582913398743,9,36000,36000,36000,36000,32.6249999999994,13.94999999999983,18.19395833333326,900.0,0,0,"[15.12999999999983, 16.91000000000003, 17.999999999999968, 24.219999999999676, 16.824999999999843, 32.6249999999994, 19.484999999999886, 18.09999999999996, 15.965000000000117, 16.92000000000003, 18.134999999999955, 16.675000000000026, 17.954999999999973, 19.019999999999914, 17.77999999999999, 17.539999999999978, 16.169999999999888, 18.19499999999996, 17.404999999999998, 13.94999999999983, 17.555000000000064, 18.089999999999964, 15.640000000000068, 18.364999999999963]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",18907.499,10490.276,298.067,13419.806,8095.034,494.13,23.6,36000,36000,36000,36000,17.755555555555553,7.870370370370371,"[15.12999999999983, 16.91000000000003, 17.999999999999968, 24.219999999999676, 16.824999999999843, 32.6249999999994, 19.484999999999886, 18.09999999999996, 15.965000000000117, 16.92000000000003, 18.134999999999955, 16.675000000000026, 17.954999999999973, 19.019999999999914, 17.77999999999999, 17.539999999999978, 16.169999999999888, 18.19499999999996, 17.404999999999998, 13.94999999999983, 17.555000000000064, 18.089999999999964, 15.640000000000068, 18.364999999999963]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",128.0,5270.5,309.5,0.0,0.5,0.2,2.9999999999999997e-05,-0.3038427189180267,-0.04887517435145715,0.00487995789423416,0.37405066720901,0.00663242286886558,26.11739909571986,0.01
32.6249999999994,13.94999999999983,18.19395833333326,900.0,0,0,24,0,0,40000,40000,40000,40000,4000,4000,215.5639040968962,215.5639040968962,40000,4000,40000,False,24,10,74231_00000,2025-04-22_13-55-01,1745344501,18.56104063987732,188.77686977386475,763949,mecha-ws-2,10.26.3.157,188.77686977386475,10,40000,40000,40000,40000,32.6249999999994,13.94999999999983,18.19395833333326,900.0,0,0,"[15.12999999999983, 16.91000000000003, 17.999999999999968, 24.219999999999676, 16.824999999999843, 32.6249999999994, 19.484999999999886, 18.09999999999996, 15.965000000000117, 16.92000000000003, 18.134999999999955, 16.675000000000026, 17.954999999999973, 19.019999999999914, 17.77999999999999, 17.539999999999978, 16.169999999999888, 18.19499999999996, 17.404999999999998, 13.94999999999983, 17.555000000000064, 18.089999999999964, 15.640000000000068, 18.364999999999963]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",18872.345,10479.027,299.845,13340.211,8069.718,495.68,23.23,40000,40000,40000,40000,18.384615384615383,7.949999999999999,"[15.12999999999983, 16.91000000000003, 17.999999999999968, 24.219999999999676, 16.824999999999843, 32.6249999999994, 19.484999999999886, 18.09999999999996, 15.965000000000117, 16.92000000000003, 18.134999999999955, 16.675000000000026, 17.954999999999973, 19.019999999999914, 17.77999999999999, 17.539999999999978, 16.169999999999888, 18.19499999999996, 17.404999999999998, 13.94999999999983, 17.555000000000064, 18.089999999999964, 15.640000000000068, 18.364999999999963]","[900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900, 900]",128.0,5890.5,309.5,0.0,0.5,0.2,2.9999999999999997e-05,-0.30620984291214676,-0.04994552117779911,0.003918632477530815,0.40120624409567923,0.0062576695478011035,26.14344937416815,0.01
